verse_id,chapter_title,sthana,heading_path,devanagari,iast,translation,verse_numbers_list,source_url
v0000,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada,"अथातोऽभयामलकीयं रसायनपादं व्याख्यास्यामः||१||
इति ह स्माह भगवानात्रेयः||२||","athātō'bhayāmalakīyaṁ rasāyanapādaṁ vyākhyāsyāmaḥ||1||
iti ha smāha bhagavānātrēyaḥ||2||","Now we shall expound the first quarter of the chapter ""Abhayamalakiya Rasayana Pada"". Thus said Lord Atreya.[1-2]","[1, 2]",https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
v0001,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada > Synonyms of Bheshaja,"चिकित्सितं व्याधिहरं पथ्यं साधनमौषधम्|
प्रायश्चित्तं प्रशमनंप्रकृतिस्थापनं हितम्||३||
विद्याद्भेषजनामानि,...|४|","cikitsitaṁ vyādhiharaṁ pathyaṁ sādhanamauṣadham|
prāyaścittaṁ praśamanaṁ prakr̥tisthāpanaṁ hitam||3||
vidyādbhēṣajanāmāni, ...|4|","Chikitsa (measures which alleviate disorders), vyadhihara (destroyer of diseases), pathya (beneficial for the bodily channels), sadhana (instrument for therapeutic action), aushadha (that which is prepared of herbes), prayashchitta (expiation), prashamana (pacification), prakritisthapana (that which helps recovery to normalcy), hita (wholesome) – these are the synonyms of bheshaja (therapeutics).[3-4]","[3, 4]",https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
v0002,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada > Synonyms of Bheshaja > Types of Bheshaja,"भेषजं द्विविधं च तत्|
स्वस्थस्योर्जस्करं किञ्चित् किञ्चिदार्तस्य रोगनुत्||४||","bhēṣajaṁ dvividhaṁ ca tat|
svasthasyōrjaskaraṁ kiñcit kiñcidārtasya rōganut||4||","Therapeutics is of two categories: that which promotes strength and immunity in the healthy, that which alleviates disorders. [4]",[4],https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
v0003,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada > Synonyms of Bheshaja > Types of Abheshaja,अभेषजं च द्विविधं बाधनं सानुबाधनम्||,abhēṣajaṁ ca dvividhaṁ bādhanaṁ sānubādhanam|5|,"Abheshaja (non-therapeutics) is also of two types – (1) badhana (acute), (2) sanubadhana (chronic).[5]",[5],https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
v0004,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada > Synonyms of Bheshaja > Objective of Rasayana and Vajikarana,"स्वस्थस्योर्जस्करं यत्तु तद्वृष्यं तद्रसायनम्||५||
प्रायः, प्रायेण रोगाणां द्वितीयं प्रशमेमतम्|
प्रायःशब्दोविशेषार्थो ह्युभयं ह्युभयार्थकृत्||६||","svasthasyōrjaskaraṁ yattu tadvr̥ṣyaṁ tadrasāyanam||5||
prāyaḥ, prāyēṇa rōgāṇāṁ dvitīyaṁ praśamē matam|
prāyaḥśabdō viśēṣārthō hyubhayaṁ hyubhayārthakr̥t||6||","Therapeutics which promotes strength and immunity is categorized in vrishya (aphrodisiac) and Rasayana (promotives), while the therapy of the second category is mostly applied for alleviation of disorders. The word prayah specially denotes only particularity because both the groups perform both the above functions namely, promotion of strength including immunity and alleviation of diseases. [5-6]","[5, 6]",https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
v0005,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada > Synonyms of Bheshaja > Benefits of Rasayana,"दीर्घमायुः स्मृतिं मेधामारोग्यं तरुणंवयः|
प्रभावर्णस्वरौदार्यं देहेन्द्रियबलं परम्||७||
वाक्सिद्धिं प्रणतिंकान्तिं लभते ना रसायनात्|
लाभोपायो हि शस्तानां रसादीनां रसायनम्||८||","dīrghamāyuḥ smr̥tiṁ mēdhāmārōgyaṁ taruṇaṁ vayaḥ|
prabhāvarṇasvaraudāryaṁ dēhēndriyabalaṁ param||7||
vāksiddhiṁ praṇatiṁ kāntiṁ labhatēnā rasāyanāt|
lābhōpāyō hi śastānāṁ rasādīnāṁ rasāyanam||8||","By promotive treatment, one attains longevity, memory, intelligence, freedom from illness, youthfulness, excellence of lustre, complexion and voice, optimum strength of physique and sense organs, perfection in deliberation, respectability and brilliance. Rasayana is the means of attaining excellent qualities of rasa etc. dhatus i.e. body cells and tissues. [7-8]","[7, 8]",https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
v0006,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada > Synonyms of Bheshaja > Benefits of Vajikarana,"अपत्यसन्तानकरं यत् सद्यः सम्प्रहर्षणम्|
वाजीवातिबलो येनयात्यप्रतिहतः स्त्रियः||९||
भवत्यतिप्रियः स्त्रीणां येन येनोपचीयते|
जीर्यतोऽप्यक्षयं शुक्रं फलवद्येन दृश्यते||१०||
प्रभूतशाखः शाखीव येन चैत्यो यथा महान्|
भवत्यर्च्योबहुमतः प्रजानां सुबहुप्रजः||११||
सन्तानमूलं येनेह प्रेत्य चानन्त्यमश्नुते|
यशः श्रियं बलं पुष्टिं वाजीकरणमेव तत्||१२||","apatyasantānakaraṁ yat sadyaḥsampraharṣaṇam|
vājīvātibalō yēna yātyapratihataḥ striyaḥ||9||
bhavatyatipriyaḥ strīṇāṁ yēna yēnōpacīyatē|
jīryatō'pyakṣayaṁ śukraṁ phalavadyēna dr̥śyatē||10||
prabhūtaśākhaḥ śākhīva yēna caityō yathā mahān|
bhavatyarcyō bahumataḥ prajānāṁsubahuprajaḥ||11||
santānamūlaṁ yēnēha prētya cānantyamaśnutē|
yaśaḥ śriyaṁ balaṁ puṣṭiṁ vājīkaraṇamēva tat||12||","Vajikarana (aphrodisiac treatment) is that which produces lineage of progeny, quick sexual stimulation, enables one to perform sexual act with the women uninterruptedly and vigorously like a horse, makes one charming for the women, promotes corpulence and infallible and indestructible semen even in the old persons, renders one great having a number of off-springs like a sacred tree branched profusely and commanding respect and popularity in the society. By this one attains eternality based on filial tradition here and hereafter along with fame, fortune, strength and corpulence. [9-12]","[9, 12]",https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
v0007,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada > Synonyms of Bheshaja > Two types of Aushadha (medicine),"स्वस्थस्योर्जस्करं त्वेतद्द्विविधं प्रोक्तमौषधम्|
यद्व्याधिनिर्घातकरं वक्ष्यते तच्चिकित्सिते||१३||
चिकित्सितार्थ एतावान् विकाराणां यदौषधम्|
रसायनविधिश्चाग्रे वाजीकरणमेव च||१४||","svasthasyōrjaskaraṁ tvētaddvividhaṁ prōktamauṣadham|
yadvyādhinirghātakaraṁ vakṣyatē taccikitsitē||13||
cikitsitārtha ētāvān vikārāṇāṁ yadauṣadham|
rasāyanavidhiścāgrē vājīkaraṇamēva ca||14||","Thus, the twofold promotive treatment for the healthy is described here. As regard the measures for alleviating diseases, those will be described in the concerned chapters on therapeutics. The sole purpose of therapeutics is to alleviate diseases. The method of Rasayana has been described first and thereafter the aphrodisiac measures have been described. [13-14]","[13, 14]",https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
v0008,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada > Synonyms of Bheshaja > Abheshaja (non-therapeutics),"अभेषजमिति ज्ञेयं विपरीतं यदौषधात्|
तदसेव्यं निषेव्यं तु प्रवक्ष्यामि यदौषधम्||१५||","abhēṣajamiti jñēyaṁ viparītaṁ yadauṣadhāt|
tadasēvyaṁ niṣēvyaṁ tu pravakṣyāmi yadauṣadham||15||",Abheshaja is that which is contrary to the bheshaja i.e. therapy. This is to be avoided whereas the bheshaja therapeutic measures are to be described further to be adopted. [15],[15],https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
v0009,Rasayana Chikitsa Adhyaya,Chikitsa_Sthana,Part- I: Abhayamalakiya Rasayana Pada > Synonyms of Bheshaja > Modes of Administration of Kutipraveshika and Vatatapika Rasayana,"रसायनानां द्विविधं प्रयोगमृषयो विदुः|
कुटीप्रावेशिकं चैव वातातपिकमेव च||१६||
कुटीप्रावेशिकस्यादौ विधिः समुपदेक्ष्यते|
नृपवैद्यद्विजातीनां साधूनांपुण्यकर्मणाम्||१७||
निवासे निर्भये शस्ते प्राप्योपकरणे पुरे|
दिशि पूर्वोत्तरस्यां च सुभूमौ कारयेत् कुटीम्||१८||
विस्तारोत्सेधसम्पन्नां त्रिगर्भां सूक्ष्मलोचनाम्|
घनभित्तिमृतुसुखां सुस्पष्टां मनसः प्रियाम्||१९||
शब्दादीनामशस्तानामगम्यं स्त्रीविवर्जिताम्|
इष्टोपकरणोपेतां सज्जवैद्यौषधद्विजाम्||२०||
अथोदगयने शुक्ले तिथिनक्षत्रपूजिते|
मुहूर्तकरणोपेते प्रशस्तेकृतवापनः||२१||
धृतिस्मृतिबलं कृत्वा श्रद्दधानः समाहितः|
विधूय मानसान् दोषान् मैत्रीं भूतेषु चिन्तयन्||२२||
देवताःपूजयित्वाऽग्रे द्विजातींश्च प्रदक्षिणम्|
देवगोब्राह्मणान् कृत्वा ततस्तां प्रविशेत्कुटीम्||२३||
तस्यां संशोधनैः शुद्धः सुखी जातबलः पुनः|
रसायनं प्रयुञ्जीत तत्प्रवक्ष्यामिशोधनम्||२४||","rasāyanānāṁ dvividhaṁ prayōgamr̥ṣayō viduḥ|
kuṭīprāvēśikaṁ caiva vātātapikamēva ca||16||
kuṭīprāvēśikasyādau vidhiḥ samupadēkṣyatē|
nr̥pavaidyadvijātīnāṁ sādhūnāṁ puṇyakarmaṇām||17||
nivāsē nirbhayē śastē prāpyōpakaraṇē purē|
diśi pūrvōttarasyāṁ ca subhūmau kārayēt kuṭīm||18||
vistārōtsēdhasampannāṁ trigarbhāṁ sūkṣmalōcanām|
ghanabhittimr̥tusukhāṁ suspaṣṭāṁ manasaḥ priyām||19||
śabdādīnāmaśastānāmagamyaṁstrīvivarjitām|
iṣṭōpakaraṇōpētāṁ sajjavaidyauṣadhadvijām ||20||
athōdagayanē śuklētithinakṣatrapūjitē|
muhūrtakaraṇōpētē praśastē kr̥tavāpanaḥ||21||
dhr̥tismr̥tibalaṁ kr̥tvā śraddadhānaḥ samāhitaḥ|
vidhūya mānasān dōṣān maitrīṁ bhūtēṣu cintayan||22||
dēvatāḥ pūjayitvā'grē dvijātīṁścapradakṣiṇam|
dēvagōbrāhmaṇān kr̥tvā tatastāṁ praviśēt kuṭīm||23||
tasyāṁ saṁśōdhanaiḥ śuddhaḥ sukhī jātabalaḥ punaḥ|
rasāyanaṁ prayuñjīta tatpravakṣyāmi śōdhanam||24||","The propounders have described two methods of the administration of Rasayana therapy, namely: kutipraveshika (indoor) and vatatapika (outdoor). Firstly, the procedure of indoor treatment will be described. For this a cottage should be built in an auspicious ground, facing eastward or northward and in a locality inhabited by king, physicians and brahmanas, holy saints, is free from dangers, is auspicious and has easy availability of necessary materials. The cottage should have sufficient space and height, three interior chambers one after the other, a small opening, and thick walls and should be comfortable for the seasons, neatly clean and favorable for the treatment. It should be impermeable for undesirable sound etc. (sense objects), free from women, equipped with necessary accessories and attended by physicians with medicines and brahmanas. Now, in northerly course of the sun, bright fortnight and auspicious date, star, hour and karana, one having clean- shaved, with strong restraint and memory, faith and focused mind, and stress-free state, feeling companionship with all the creatures, having worshipped the gods and brahmanas first and keeping the gods, cow and brahmanas to the right side, one should enter the cottage and be cleansed and thereafter when he feels happy and strong, he should use Rasayana treatment. Further I shall talk about the cleansing procedures. [16-24]","[16, 24]",https://www.carakasamhitaonline.com/index.php?title=Rasayana_Chikitsa_Adhyaya
